uid,average_rating,elevation_gain,highpoint,mileage,mileage_type,tripreport_count,campsites,coast,dogs_ok,foliage,kids_ok,lakes,mountains,old_growth,ridges,rivers,summits,waterfalls,wildflowers,wildlife
053c54b8dcad7c54d56349ccd90b2c60,3.25,1100.0,5100.0,1.4,1,49,0,0,1,1,0,1,1,0,0,0,0,0,0,0
05411f0ce05f4151592f4de40301d6d5,4.0,350.0,1500.0,8.4,1,15,1,0,1,0,1,0,0,0,0,1,0,0,1,1
054406b57441694dcf31b27ba1e1fb55,2.77777777778,960.0,5315.0,5.2,1,54,0,0,0,0,1,1,0,0,0,0,0,0,0,0
054e0cd5c7db41108e8b9e2e5df114ad,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
059e8b8bc71b4d4bdb73dfeea7027421,4.0,None,None,None,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05ab7b11705449c1abc91526be8530fe,0.0,None,None,None,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
05c64656c23f1620a2f5cdda82f56145,3.42857142857,3700.0,5816.0,14.4,1,181,0,0,1,0,0,0,0,0,0,0,0,0,1,0
05d7225cf010de0d18585d340e2864ee,4.22222222222,2360.0,6160.0,7.6,1,283,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0607a560bb996d8addbb063615ebcb39,3.11111111111,174.0,363.0,4.0,4,75,0,0,1,0,1,0,1,1,0,1,0,1,0,0
06126faa2aec46d19733c03d95160e37,0.0,None,None,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
061d617875b65dae51c7f93e29d56a3f,4.0,None,None,None,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
062ab1da818a4f34b573c8b42ce55ce1,0.0,None,7840.0,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0645e30a94e6d3ce08e2c3625dac9bdc,1.75,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0649db629360007c9435a38ae04cb78e,5.0,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
066d3ba6af23fe038850f723bd423225,3.0,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06728509dcfc401b9c051380dbb89f10,0.0,80.0,440.0,2.0,1,15,0,0,1,1,1,0,0,0,0,0,0,0,1,1
0680f7facaf1a7c114d2ea83ad423b5b,0.0,None,8252.0,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0682b6d6f4a1492210f160d9e4b1717f,4.33333333333,2000.0,5180.0,14.0,1,14,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0695c095a77f5c66ad3eb9f70be64a1d,2.75,None,None,None,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06b4ca92a238d503e4c965396bcb9b21,3.3125,300.0,3050.0,2.0,1,219,1,0,1,0,1,1,1,1,0,0,0,0,0,0
06c68fa92ce477a3f255cd3aebc56067,3.85714285714,50.0,2000.0,0.4,1,16,1,0,0,0,1,0,0,0,0,1,0,0,0,0
06de01a39275e0895bcf5c345b503b3f,4.25,None,None,None,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06e2eeef01bac3e02be874bd0b627b90,3.25,None,None,0.4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06f7ae6494e71cac3295e518febc15a9,2.2,0.0,20.0,5.6,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0701a6170aa58d135d763941851bd32b,2.0,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07115d52895d43339889c9273e4f9cb2,4.0,0.0,None,1.0,1,3,0,0,0,0,1,1,1,1,0,0,0,0,1,1
0711b032482c3bd7a6803da1a8658954,4.0,None,8795.0,None,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
071a04e45d48669a39760de004537a0e,2.875,1100.0,950.0,12.0,1,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0
07383f45e6e744aaa0d42d666dab85e1,5.0,555.0,1383.0,3.6,1,13,0,0,1,0,1,0,1,0,0,0,1,0,1,1
074844dde08d3777003205cf9f6d1fb9,4.0,None,7377.0,None,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0752d04b7d5b3dd7a32b827e537641ac,3.0,0.0,None,0.25,1,10,0,0,1,0,1,1,0,0,0,0,0,0,0,1
07580066d6cf4745b936538f0d723c03,0.0,None,None,2.4,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0775d8d13a65322ac7c4af99b11d556f,3.75,600.0,1800.0,13.0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1
077a2221039438b29cfe3ff9f0a54076,4.34042553191,200.0,250.0,1.5,1,185,0,1,1,0,1,0,0,0,0,0,0,0,0,1
077cb7ed755c25439ec08ace032b12f6,3.0,1300.0,4080.0,4.5,1,259,0,0,0,0,1,0,1,1,1,1,0,0,1,0
07837712c87234f81572b81ac1196093,2.6,None,None,None,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
078e6fe54b314469dcddc256a8d3f490,2.0,None,None,None,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07a04cd091d9af898c1e823f32381d15,3.0,1140.0,3376.0,9.2,1,199,0,0,1,0,1,0,1,0,0,0,0,0,0,1
07a6d0112ce18ce0ceb631bae2bd905f,4.27272727273,3400.0,5700.0,11.0,1,141,1,0,1,0,0,1,1,0,1,0,0,0,0,0
07a72850457dffb3df2bcfc84740a50f,3.0,3100.0,6000.0,8.0,1,38,0,0,1,0,0,0,1,0,0,0,0,0,0,0
07aecab79838c2a2cbe5f22e6a89f019,2.75,None,None,None,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07c042e298a5099d4ad650c49ce7c696,4.0,None,None,None,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07d09a73cc993e2e3fb4b3eda7c8fc62,3.625,2900.0,5890.0,11.0,1,187,0,0,0,0,0,0,1,0,0,0,1,0,1,0
07d4b44862f94b319ceb496318fce627,0.0,None,None,None,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07f96be9f7d673af1fe36e6cc83b1657,4.55555555556,16000.0,None,74.7,5,322,1,0,0,1,0,1,1,1,1,1,0,0,1,1
08061c6b713682e42c9de1d60dd63683,2.75,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0806ef8d54f2be5b800542b97f094bbe,2.92857142857,3200.0,4100.0,5.8,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
084135ebba6441e194db9c47eef3c7da,0.0,None,None,None,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
